0,1,2,3,4
Rafer Alston,301000,1999,2000,Milwaukee Bucks
Kevin Garnett,19600000,2000,2001,Minnesota Timberwolves
Shaquille O'Neal,19285000,2000,2001,Los Angeles Lakers
Alonzo Mourning,16879000,2000,2001,Miami Heat
Juwan Howard,16875000,2000,2001,Washington Wizards
Hakeem Olajuwon,16685000,2000,2001,Houston Rockets
Karl Malone,15750000,2000,2001,Utah Jazz
Dikembe Mutombo,14422000,2000,2001,Philadelphia 76ers
Patrick Ewing,14000000,2000,2001,Seattle SuperSonics
David Robinson,13196000,2000,2001,San Antonio Spurs
Scottie Pippen,13151000,2000,2001,Portland Trail Blazers
Rasheed Wallace,12600000,2000,2001,Portland Trail Blazers
Larry Johnson,12485000,2000,2001,New York Knicks
Gary Payton,12200000,2000,2001,Seattle SuperSonics
Tim Hardaway,12000000,2000,2001,Miami Heat
Chris Webber,12000000,2000,2001,Sacramento Kings
Shawn Kemp,11720000,2000,2001,Portland Trail Blazers
Damon Stoudamire,11250000,2000,2001,Portland Trail Blazers
John Stockton,11000000,2000,2001,Utah Jazz
Antonio McDyess,10800000,2000,2001,Denver Nuggets
Reggie Miller,10666000,2000,2001,Indiana Pacers
Arvydas Sabonis,10636000,2000,2001,Portland Trail Blazers
Zydrunas Ilgauskas,10130000,2000,2001,Cleveland Cavaliers
Anfernee Hardaway,10130000,2000,2001,Phoenix Suns
Stephon Marbury,10130000,2000,2001,New Jersey Nets
Antoine Walker,10125000,2000,2001,Boston Celtics
Shareef Abdur-Rahim,10125000,2000,2001,Vancouver Grizzlies
Allen Iverson,10125000,2000,2001,Philadelphia 76ers
Latrell Sprewell,10125000,2000,2001,New York Knicks
Vin Baker,10125000,2000,2001,Seattle SuperSonics
Ray Allen,10125000,2000,2001,Milwaukee Bucks
Kobe Bryant,10125000,2000,2001,Los Angeles Lakers
Bryant Reeves,10110000,2000,2001,Vancouver Grizzlies
Tracy McGrady,9658000,2000,2001,Orlando Magic
Tim Duncan,9658000,2000,2001,San Antonio Spurs
Jalen Rose,9658000,2000,2001,Indiana Pacers
Grant Hill,9658000,2000,2001,Orlando Magic
